,puro_spearman,pvalue,method
51,0.1345334297490195,4.4397880357321176e-270,RISE
52,0.020943286921936796,5.2768103522439965e-08,RISE
53,0.07984234331058937,7.071404593711831e-96,RISE
54,0.0068494792122829025,0.07515212192058067,RISE
55,0.08232928384849493,7.687355857265757e-102,RISE
56,0.08242255118750598,4.55543277069039e-102,RISE
57,0.41264099856966724,0.0,RISE
58,0.23311396646941684,0.0,RISE
59,0.35173774998593843,0.0,RISE
60,0.18548436655241904,0.0,RISE
61,0.1991348669225274,0.0,RISE
62,0.23179946156962403,0.0,RISE
63,0.1836992559345613,0.0,RISE
64,0.5333924980811283,0.0,RISE
65,0.03425180378259634,5.518317377877534e-19,RISE
66,0.2936345686827502,0.0,RISE
67,0.3410168491017405,0.0,RISE
68,0.11011660023102673,4.292091230859386e-181,RISE
69,0.4741901345956684,0.0,RISE
70,0.10639655975812883,3.916481689576658e-169,RISE
71,0.17202113229601554,0.0,RISE
72,0.47573159051101666,0.0,RISE
73,0.06867301822302413,2.30922052398319e-71,RISE
74,0.19906431161554355,0.0,RISE
75,0.2238827540384815,0.0,RISE
76,0.12463227617400116,8.595285736214587e-232,RISE
77,0.04984470565659661,2.1211266366115987e-38,RISE
78,0.08752378717049614,6.8134253259031075e-115,RISE
79,0.4228718807323184,0.0,RISE
80,0.3737005465916569,0.0,RISE
81,-0.14140369064657055,1.9955871894410837e-298,RISE
82,0.010915483739651819,0.004568847910006281,RISE
83,0.043708893016931115,6.530013273106386e-30,RISE
84,0.10535657796862646,7.269447940486198e-166,RISE
85,0.21186731850910726,0.0,RISE
86,-0.0011322871849144915,0.7686268676666121,RISE
87,0.12619434766283982,1.2426282501267404e-237,RISE
88,0.39081653541554473,0.0,RISE
89,-0.2071820349951474,0.0,RISE
90,0.2382223751842427,0.0,RISE
91,0.2131438826385444,0.0,RISE
92,0.14352045618901116,1.8646296036402508e-307,RISE
93,0.3713477998727601,0.0,RISE
94,0.507082793176723,0.0,RISE
95,0.28870690644303854,0.0,RISE
96,0.17843565773259418,0.0,RISE
97,0.1533270593625919,0.0,RISE
98,0.25386581971125244,0.0,RISE
99,0.4493247914447308,0.0,RISE
100,1.0,0.0,Original
101,1.0,0.0,Original
102,0.9999999999999998,0.0,Original
103,1.0,0.0,Original
104,0.9999999999999998,0.0,Original
105,1.0,0.0,Original
106,1.0,0.0,Original
107,1.0,0.0,Original
108,1.0,0.0,Original
109,0.9999999999999998,0.0,Original
110,1.0,0.0,Original
111,0.9999999999999998,0.0,Original
112,1.0,0.0,Original
113,1.0,0.0,Original
114,1.0,0.0,Original
115,1.0,0.0,Original
116,1.0,0.0,Original
117,1.0,0.0,Original
118,1.0,0.0,Original
119,1.0,0.0,Original
120,1.0,0.0,Original
121,0.9999999999999998,0.0,Original
122,1.0,0.0,Original
123,1.0,0.0,Original
124,1.0,0.0,Original
125,1.0,0.0,Original
126,1.0,0.0,Original
127,1.0,0.0,Original
128,0.9999999999999998,0.0,Original
129,0.9999999999999998,0.0,Original
130,1.0,0.0,Original
131,1.0,0.0,Original
132,0.9999999999999998,0.0,Original
133,1.0,0.0,Original
134,1.0,0.0,Original
135,1.0,0.0,Original
136,1.0,0.0,Original
137,1.0,0.0,Original
138,0.9999999999999998,0.0,Original
139,1.0,0.0,Original
140,0.9999999999999998,0.0,Original
141,0.9999999999999998,0.0,Original
142,1.0,0.0,Original
143,1.0,0.0,Original
144,0.9999999999999998,0.0,Original
145,1.0,0.0,Original
146,1.0,0.0,Original
147,1.0,0.0,Original
148,0.9999999999999998,0.0,Original
149,1.0,0.0,Original
150,1.0,0.0,Original
151,1.0,0.0,Original
152,1.0,0.0,Original
153,1.0,0.0,Original
154,1.0,0.0,Original
155,1.0,0.0,Original
156,1.0,0.0,Original
157,0.9999999999999998,0.0,Original
158,1.0,0.0,Original
159,1.0,0.0,Original
160,1.0,0.0,Original
161,0.9999999999999998,0.0,Original
162,1.0,0.0,Original
163,1.0,0.0,Original
164,1.0,0.0,Original
165,1.0,0.0,Original
166,0.9999999999999998,0.0,Original
167,1.0,0.0,Original
168,1.0,0.0,Original
