,puro_spearman,pvalue,method
133,0.2892196565637487,0.0,Input-Grad
134,0.34281290621062877,0.0,Input-Grad
135,0.4734790487592773,0.0,Input-Grad
136,0.4265732172833618,0.0,Input-Grad
137,0.3648083228491755,0.0,Input-Grad
138,0.26710691290946886,0.0,Input-Grad
139,0.12885488193614186,0.0,Input-Grad
140,0.3815756078548258,0.0,Input-Grad
141,0.33175663787952714,0.0,Input-Grad
142,0.4539481199387091,0.0,Input-Grad
143,0.29313890706020634,0.0,Input-Grad
144,0.2669329473396017,0.0,Input-Grad
145,0.43867820885349673,0.0,Input-Grad
146,0.39717915820683986,0.0,Input-Grad
147,0.39717915820683986,0.0,Input-Grad
148,0.3634743545823979,0.0,Input-Grad
149,0.3012796639706898,0.0,Input-Grad
150,0.05321008310092009,8.122866583354575e-95,GradCam
151,0.01221867941970169,2.1294613084583845e-06,GradCam
152,-0.268422447337036,0.0,GradCam
153,0.2004057190233409,0.0,GradCam
154,-0.02692067060717284,1.52078405432603e-25,GradCam
155,-0.17017898489043198,0.0,GradCam
156,-0.20435706775535503,0.0,GradCam
157,-0.014065697113639225,4.8308886201266195e-08,GradCam
158,0.21664458982785884,0.0,GradCam
159,-0.13761581245402832,0.0,GradCam
160,-0.14643377655688583,0.0,GradCam
161,0.1766673043812698,0.0,GradCam
162,0.09275910729455548,7.714624833632794e-285,GradCam
163,-0.0754771212775881,4.956684860062004e-189,GradCam
164,0.11340817962979201,0.0,GradCam
165,-0.03332388866725754,2.951970869624423e-38,GradCam
166,0.2236490195962902,0.0,GradCam
167,-0.24395869878424134,0.0,GradCam
168,-0.02923612777961939,7.821666893288173e-30,GradCam
169,-0.07034485526431059,2.0841932119497505e-164,GradCam
170,0.11009842753508213,0.0,GradCam
171,-0.3092020411014699,0.0,GradCam
172,-0.2133386190069443,0.0,GradCam
173,-0.2696898917815111,0.0,GradCam
174,-0.02367264799051233,4.088207359712302e-20,GradCam
175,-0.08735496608886793,9.757237280823247e-253,GradCam
176,0.2505099718031268,0.0,GradCam
177,-0.032637737590896304,9.120571910332452e-37,GradCam
178,-0.003863319512196727,0.13390438731899523,GradCam
179,0.00897246839014886,0.0004992212807625794,GradCam
180,0.009287650389841418,0.0003140034864327044,GradCam
181,-0.11770281776356033,0.0,GradCam
182,-0.12324900357813016,0.0,GradCam
183,-0.1832017958452354,0.0,GradCam
184,-0.30446370702432385,0.0,GradCam
185,-0.25752367676043425,0.0,GradCam
186,-0.010309272911533477,6.338039843123453e-05,GradCam
187,-0.2671412843888988,0.0,GradCam
188,0.06675890396032194,3.0737104720293815e-148,GradCam
189,-0.2272151238163791,0.0,GradCam
190,0.163019333324609,0.0,GradCam
191,-0.11392587977316769,0.0,GradCam
192,-0.28870556080114496,0.0,GradCam
193,-0.07140731398362385,2.3165480469558225e-169,GradCam
194,-0.009170688063264789,0.0003735710765803016,GradCam
195,-0.07487262600785974,4.855987141260788e-186,GradCam
196,-0.153208941444436,0.0,GradCam
197,-0.153208941444436,0.0,GradCam
198,-0.31088871796189643,0.0,GradCam
199,-0.04698665561673322,2.4947922480612568e-74,GradCam
200,0.05808144457813196,1.247628677726796e-112,XRAI
201,0.14381958380522897,0.0,XRAI
202,-0.0823723533293034,7.208029668514629e-225,XRAI
203,0.10128282869546043,0.0,XRAI
204,0.11134964635664225,0.0,XRAI
205,-0.20790829026464747,0.0,XRAI
206,0.01695143379277061,4.7931015279423505e-11,XRAI
207,-0.10408394820269902,0.0,XRAI
208,-0.353296060371432,0.0,XRAI
209,-0.02597801033270741,6.734825247291853e-24,XRAI
210,-0.0020499722710028054,0.42641505169200233,XRAI
211,0.073558238448482,1.2771122458632584e-179,XRAI
212,-0.04964984407374526,8.73650760391835e-83,XRAI
213,-0.41285849417761744,0.0,XRAI
214,-0.12734649454714864,0.0,XRAI
215,-0.17478034284520044,0.0,XRAI
216,-0.10551276864040496,0.0,XRAI
217,-0.17043129963870843,0.0,XRAI
218,-0.49225665092956167,0.0,XRAI
219,0.23131571035017126,0.0,XRAI
220,-0.3530150720046317,0.0,XRAI
221,-0.2960496697409604,0.0,XRAI
222,-0.0093066871170158,0.00030519407002672493,XRAI
223,0.24906741330455606,0.0,XRAI
224,0.14390637998602693,0.0,XRAI
225,0.33691771246180346,0.0,XRAI
